,ds,y,yhat,yhat_lower,yhat_upper
179,2024-09-18,5618.259765625,4511.334927138996,3466.105005926313,5639.756856410112
180,2024-09-19,5713.64013671875,4505.645354231891,3469.1713782242186,5598.0292942429705
181,2024-09-20,5702.5498046875,4501.11516035512,3451.31928044891,5623.829266543123
182,2024-09-23,5718.56982421875,4486.463491619195,3440.768974318078,5648.0862381792585
183,2024-09-24,5732.93017578125,4481.949848326499,3402.4309031818134,5606.494076170297
184,2024-09-25,5722.259765625,4478.022776655728,3438.051042802764,5602.385270050322
185,2024-09-26,5745.3701171875,4474.16687896422,3377.3184708279837,5631.188845027323
186,2024-09-27,5738.169921875,4471.692492695013,3375.4882539665236,5661.233629335738
187,2024-09-30,5762.47998046875,4464.230919657129,3328.80895124936,5636.588186149003
188,2024-10-01,5708.75,4462.34072561321,3348.3538536362375,5631.617547886304
189,2024-10-02,5709.5400390625,4461.090668191356,3304.9596531437487,5703.752622755399
190,2024-10-03,5699.93994140625,4459.9294542274965,3342.5068947167783,5635.197146928119
191,2024-10-04,5751.06982421875,4460.13259774074,3319.405484772227,5669.608155322779
192,2024-10-07,5695.93994140625,4460.283502238499,3302.672525108162,5704.30590839209
193,2024-10-08,5751.1298828125,4460.699802869362,3308.8220376020963,5695.636687925697
194,2024-10-09,5792.0400390625,4461.604484236288,3253.8467849280905,5735.369984816656
195,2024-10-10,5780.0498046875,4462.430870397307,3215.4068679213465,5689.280633972988
196,2024-10-11,5815.02978515625,4464.443699450831,3268.405340859685,5775.919708631668
197,2024-10-14,5859.85009765625,4468.918896491241,3226.0764080592385,5768.469837590445
198,2024-10-15,5815.259765625,4470.4188214324195,3214.597248749535,5760.895047885687
199,2024-10-16,5842.47021484375,4472.2440554709165,3214.241931713955,5806.907039740708
200,2024-10-17,5841.47021484375,4473.843002311014,3210.0969965248414,5787.369684192916
201,2024-10-18,5864.669921875,4476.498511059285,3209.890869403062,5793.164969459314
202,2024-10-21,5853.97998046875,4482.336318644041,3159.5709528628736,5804.727153939152
203,2024-10-22,5851.2001953125,4484.1795272401905,3194.2653051035004,5780.843644187752
204,2024-10-23,5797.419921875,4486.3320783698855,3192.9813048068104,5780.478053632042
205,2024-10-24,5809.85986328125,4488.265055095812,3181.192609387553,5866.016687250623
206,2024-10-25,5808.1201171875,4491.282391165409,3191.9593254104684,5855.833899319026
207,2024-10-28,5823.52001953125,4498.547431198469,3120.924796353299,5858.604683468136
208,2024-10-29,5832.919921875,4501.023367690695,3196.649843944072,5871.579224161293
209,2024-10-30,5813.669921875,4503.899812806583,3157.372626736582,5924.631420977997
210,2024-10-31,5705.4501953125,4506.649680227173,3137.5545836869474,5935.4713824711025
211,2024-11-01,5728.7998046875,4510.574779499885,3116.5289388093634,5954.957974916942
212,2024-11-04,5712.68994140625,4521.030011546386,3123.783291081769,5977.945585097689
213,2024-11-05,5782.759765625,4524.681554190843,3128.8125466831743,6006.763864484247
214,2024-11-06,5929.0400390625,4528.7606407832,3118.853378599399,6001.336839155944
215,2024-11-07,5973.10009765625,4532.719339040236,3108.434483887521,6018.888756123456
216,2024-11-08,5995.5400390625,4537.837137373725,3136.6478262772894,6053.305589116987
217,2024-11-11,6001.35009765625,4551.5416913368945,3142.623929330346,6050.367280749112
218,2024-11-12,5983.990234375,4556.091083674235,3101.8072280793413,6103.521969431989
