Date,Actual,Predicted
2024-12-27,5970.839843750001,5983.095
2024-12-30,5906.93994140625,5981.4106
2024-12-31,5881.6298828125,5978.664
2025-01-02,5868.5498046875,5974.6616
2025-01-03,5942.47021484375,5969.463
2025-01-06,5975.3798828125,5964.4043
2025-01-07,5909.02978515625,5960.0815
2025-01-08,5918.25,5955.5825
2025-01-10,5827.0400390625,5951.151
2025-01-13,5836.22021484375,5945.5347
2025-01-14,5842.91015625,5939.1167
2025-01-15,5949.91015625,5932.21
2025-01-16,5937.33984375,5926.572
2025-01-17,5996.660156249999,5921.9854
2025-01-21,6049.240234375,5919.2593
2025-01-22,6086.3701171875,5918.9067
2025-01-23,6118.7099609375,5921.091
2025-01-24,6101.240234375,5925.7915
2025-01-27,6012.279785156251,5932.218
2025-01-28,6067.700195312501,5938.6216
2025-01-29,6039.31005859375,5945.5254
2025-01-30,6071.169921875,5952.232
2025-01-31,6040.52978515625,5959.0522
2025-02-03,5994.56982421875,5965.378
2025-02-04,6037.8798828125,5970.5073
2025-02-05,6061.47998046875,5975.1187
2025-02-06,6083.569824218751,5979.559
2025-02-07,6025.990234375001,5984.1387
2025-02-10,6066.43994140625,5987.99
2025-02-11,6068.5,5991.7417
2025-02-12,6051.970214843751,5995.3843
2025-02-13,6115.06982421875,5998.671
2025-02-14,6114.629882812501,6002.4985
2025-02-18,6129.580078125001,6006.7427
2025-02-19,6144.149902343751,6011.4966
2025-02-20,6117.520019531249,6016.8047
2025-02-21,6013.1298828125,6022.114
2025-02-24,5983.25,6025.8394
2025-02-25,5955.25,6027.684
2025-02-26,5956.060058593749,6027.4717
2025-02-27,5861.56982421875,6025.5474
2025-02-28,5954.5,6020.926
2025-03-03,5849.72021484375,6015.477
2025-03-04,5778.14990234375,6008.0254
2025-03-05,5842.6298828125,5998.0728
2025-03-06,5738.52001953125,5987.142
2025-03-07,5770.2001953125,5974.1636
2025-03-10,5614.56005859375,5960.212
2025-03-11,5572.06982421875,5943.488
2025-03-12,5599.2998046875,5924.1235
2025-03-13,5521.52001953125,5903.275
2025-03-14,5638.93994140625,5880.4746
2025-03-17,5675.1201171875,5858.222
2025-03-18,5614.66015625,5837.4546
2025-03-19,5675.2900390625,5817.526
2025-03-20,5662.89013671875,5799.567
2025-03-21,5667.56005859375,5783.384
2025-03-24,5767.56982421875,5769.011
2025-03-25,5776.64990234375,5757.816
2025-03-26,5712.2001953125,5749.5874
2025-03-27,5693.31005859375,5742.994
2025-03-28,5580.93994140625,5737.4717
2025-03-31,5611.85009765625,5731.1416
2025-04-01,5633.06982421875,5724.5205
2025-04-02,5670.97021484375,5717.9863
2025-04-03,5396.52001953125,5712.1714
2025-04-04,5074.080078125,5703.009
2025-04-07,5062.25,5686.2124
2025-04-08,4982.77001953125,5662.8564
2025-04-09,5456.89990234375,5633.12
2025-04-10,5268.0498046875,5605.8843
2025-04-11,5363.35986328125,5578.7495
2025-04-14,5405.97021484375,5553.8877
2025-04-15,5396.6298828125,5532.141
2025-04-16,5275.7001953125,5513.323
2025-04-17,5282.7001953125,5495.4316
2025-04-21,5158.2001953125,5478.5776
2025-04-22,5287.759765625,5460.847
2025-04-23,5375.85986328125,5444.505
2025-04-24,5484.77001953125,5430.9287
2025-04-25,5525.2099609375,5421.601
2025-04-28,5528.75,5416.6567
2025-04-29,5560.830078125,5415.4927
2025-04-30,5569.06005859375,5417.884
2025-05-01,5604.14013671875,5423.1934
2025-05-02,5686.669921875,5431.2144
